Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
1,5,8	0.0	2.5801432197369043	0.0	0.0	0.0	5.546962626989265	0.0	0.0	1.663044573178239	0.0	0.0	-4.993861307947107	0.6938461538461539	0.26994301994301995	0.7120827285921626	0.7199699897525985	0.7026470714010243	0.07652203147966703	0.10026557457534134	0.050733488149715636	0.06786342510205086	0.05075857860104838
1,5,10	0.0	2.208392446749844	0.0	0.0	0.0	5.16166921279779	0.0	0.0	0.0	0.0	-0.4304027201027866	-3.8418566741237803	0.3758461538461539	0.0858974358974359	0.6494557329462991	0.8282661782661782	0.5101313891557794	0.06601792835211755	0.06406155700078298	0.033683423093471866	0.10980046540275842	0.060374689704346625
1,6,10	0.0	0.19533015193852044	0.0	0.0	0.0	0.0	-2.527056904307803	0.0	0.0	0.0	-0.11923685741333748	1.17933199110592	0.45353846153846156	0.26908831908831904	0.5944484760522496	0.6218485365160558	0.5222612873926875	0.06448631798374435	0.06835365848338391	0.04532656546053015	0.07014547490469347	0.059854710629291985
1,7,9	0.0	-0.188444002532959	0.0	0.0	0.0	0.0	0.0	-4.219877980711851	0.0	4.1873450119768965	0.0	0.520838125071055	0.7906153846153845	0.44886039886039886	0.6685050798258345	0.6325401314371902	0.7002161820162454	0.0946859024266189	0.11277958695384661	0.07076647589385379	0.0637555679271199	0.06651933268019525
2,3,5	0.0	0.0	5.544604300790623	-6.495823358912557	0.0	0.6636015328151756	0.0	0.0	0.0	0.0	0.0	-1.621759090103685	0.9533846153846154	0.27350427350427353	0.8380261248185776	0.7778935041731532	0.8541379218507339	0.03791644504346006	0.1065027992267393	0.04729001096912208	0.0654545356206122	0.03502028344740951
2,3,7	0.0	0.0	5.751304859037868	-6.2781159387329835	0.0	0.0	0.0	-0.5873329630971544	0.0	0.0	0.0	-1.2959005636550338	0.9226153846153846	0.2696581196581197	0.8247822931785196	0.7764726473825957	0.8394180145778414	0.05695238330831329	0.11478874312514453	0.050507787084852616	0.07376741325672835	0.03904844915623718
2,3,9	0.0	0.0	4.011026151650979	-7.143583928056097	0.0	0.0	0.0	0.0	0.0	2.520534203463781	0.0	-1.214970026180976	0.9650769230769232	0.195014245014245	0.883744557329463	0.8309680381878657	0.8915202077844601	0.027417870905130714	0.06943461834200665	0.025186859206532228	0.047553399545668514	0.01935557839020595
1,9,10	0.0	-1.1685921030943072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.636060074667342	-1.7294200577450212	0.24935221926964352	0.5459999999999999	0.41894586894586894	0.563788098693759	0.5586914172783738	0.5492454433871157	0.10973329690528823	0.108472673472412	0.08142865711399576	0.09443761835413873	0.0932505628441772
1,6,9	0.0	0.4854833598252653	0.0	0.0	0.0	0.0	-4.521765424584345	0.0	0.0	4.410275563356332	0.0	0.09611101932235415	0.7207692307692308	0.3404558404558405	0.6894412191582003	0.6770524028469949	0.6958423825763727	0.07706218191601383	0.10967920942957206	0.07361696963755593	0.0793098305174729	0.06536474899947685
1,8,9	0.0	-1.011264946846301	0.0	0.0	0.0	0.0	0.0	0.0	0.5342250637205666	2.003274140827415	0.0	-0.36746118464967287	0.6275384615384616	0.5464387464387465	0.5390420899854862	0.5266952682045841	0.5719778655774312	0.05240014454110784	0.06597825589212061	0.04321210777855688	0.041320296883487276	0.04169637853555249
1,5,9	0.0	2.472583281801863	0.0	0.0	0.0	6.432715117739283	0.0	0.0	0.0	2.3225312811168224	0.0	-5.653244710153939	0.5660000000000001	0.2622507122507123	0.6530841799709725	0.6783298694059564	0.6144514315985176	0.09188480052787479	0.08609328827076858	0.07255904322929328	0.0911443826634999	0.08446588177613747
1,5,7	0.0	1.9498808462853447	0.0	0.0	0.0	4.1945603431368	0.0	-1.1993949083337978	0.0	0.0	0.0	-2.7941218357632893	0.344923076923077	0.11923076923076922	0.617198838896952	0.7683396015748957	0.46658424955357825	0.06977156301758733	0.09152806869408334	0.04466498909575852	0.13766887730899996	0.06606444895711118
1,6,7	0.0	0.2497636546624049	0.0	0.0	0.0	0.0	-1.3469492313622526	-1.5882102507821405	0.0	0.0	0.0	1.3943238745066089	0.45353846153846156	0.34444444444444444	0.5561320754716981	0.5592523871486046	0.4993650842414089	0.06448631798374435	0.05080819375831544	0.03861221751104645	0.0501756705451628	0.055402380702179094
1,7,8	0.0	0.7646471012090557	0.0	0.0	0.0	0.0	0.0	-5.984501574214427	4.351784103172389	0.0	0.0	0.4461321273578812	0.6163076923076923	0.12692307692307692	0.7468069666182873	0.8220700983742779	0.7031051214583904	0.08676486622956504	0.052650505350577165	0.06327720329909463	0.07636982710073262	0.08153456028187978
2,3,4	0.0	0.0	1.946643315112596	-5.550732023238924	-4.928275942281393	0.0	0.0	0.0	0.0	0.0	0.0	2.4525238927633555	0.9495384615384616	0.2511396011396011	0.847532656023222	0.7911794971548864	0.8608593688067889	0.03481684962416156	0.09721332520366867	0.042190211483624694	0.06143552502881939	0.03172209239983497
2,3,8	0.0	0.0	5.019030801904906	-7.004137143266374	0.0	0.0	0.0	0.0	1.6059378949505156	0.0	0.0	-1.4750229477253574	0.9766153846153847	0.2398860398860399	0.8665457184325109	0.8013821360023432	0.878795110518485	0.031316668529884364	0.0805623251165206	0.03552129181049337	0.05191915227186604	0.028409824455136495
