Detach Points (Label 1):
x: 0.001016203397536086, y: 0.0007078940000000012
x: 0.0013433166502768005, y: 0.0006899090000000003
x: 0.0009806276408341678, y: 0.0007138420000000009
x: 0.0018075139280738488, y: 0.0007064400000000009
x: 0.0003354044938829431, y: 0.0006698380000000012
x: 0.00029950628748435517, y: 0.0006828410000000008
x: 0.0003169144814355492, y: 0.0006867940000000003
x: 0.00032447745757128066, y: 0.0006905060000000007
x: 0.0003233989399138926, y: 0.0006873070000000007
x: 0.00039809415767378385, y: 0.0006733040000000007
x: 0.00032652091316998365, y: 0.0006702670000000002
x: 0.00035615111338441186, y: 0.000695809
x: 0.0004254148588717951, y: 0.0006701690000000004
x: 0.0003412414687644682, y: 0.0006837090000000008
