Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	weight13	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
1,5,11	0.0	0.0	0.0	0.0	0.0	1.6814601968562216e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0000000550897143	0.0	0.0	0.5857142857142856	0.0	0.0	0.0	0.0	0.05947617141331806	0.0	0.0
1,6,8	0.0	0.0	0.0	0.0	0.0	0.0	2.904567746469515	0.0	-0.793723900335598	0.0	0.0	0.0	0.0	0.0	-1.1722775038862936	0.7166666666666666	0.0	0.8857142857142858	1.0	0.8099999999999999	0.24776781245530843	0.0	0.10583862271853747	0.0	0.17387735140993302
1,7,8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.341963319212615	-0.8001681797872962	0.0	0.0	0.0	0.0	0.0	-1.4476017334340774	0.7166666666666666	0.0	0.8857142857142858	1.0	0.8099999999999999	0.24776781245530843	0.0	0.10583862271853747	0.0	0.17387735140993302
1,8,11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2055181270943696	0.0	0.0	0.0	0.0	0.0	-1.2052653427235782	0.0	0.175	0.4738095238095238	0.0	nan	0.0	0.22500000000000003	0.10724862504338294	0.0	nan
1,9,11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.733993448628657	0.0	0.0	0.0	0.0	-1.6575422504773996	0.5833333333333333	0.25	0.6833333333333333	0.61	nan	0.3593976442141304	0.19364916731037085	0.1746554755723172	0.36325687268867407	nan
1,9,13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5835279214706701	0.0	0.0	0.0	1.6346434872271618	-1.8504638786923788	0.8333333333333333	0.25	0.780952380952381	0.71	0.753095238095238	0.21081851067789195	0.19364916731037085	0.1672777911452409	0.2356079606276306	0.20119836558214177
1,8,13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3622072328075233	0.0	0.0	0.0	0.0	2.4808582912297124	-1.600708578548695	1.0	0.5416666666666667	0.6857142857142857	0.585	0.7309523809523809	0.0	0.23935677693908453	0.13119026013291343	0.1205197079319395	0.09511897312113415
1,7,12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6666618681632044	0.0	0.0	0.0	0.0	2.649283364838997	0.0	-2.490676259268158	0.9666666666666666	0.0	0.9833333333333334	1.0	0.9800000000000001	0.1	0.0	0.04999999999999999	0.0	0.05999999999999999
1,8,9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7620175777015604	2.3111372778420245	0.0	0.0	0.0	0.0	-1.7161871123284946	0.7166666666666667	0.25	0.7333333333333332	0.6933333333333334	0.6830952380952381	0.19790570145063194	0.19364916731037085	0.1341809790819559	0.2438350991050213	0.1732458243256053
2,3,4	0.0	0.0	-0.003356201358536626	3.7428302507868856	1.0947785103554817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0165441038440357	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
1,11,12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.174561892891006e-08	0.0	-0.9999999808070015	0.0	0.0	0.5857142857142856	0.0	0.0	0.0	0.0	0.05947617141331806	0.0	0.0
1,10,12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.897000500264733	0.0	0.7674948629245776	0.0	-3.681113279562845	0.9666666666666666	0.075	0.9357142857142857	0.9083333333333332	0.9257142857142858	0.1	0.11456439237389598	0.07900314296684313	0.14166666666666666	0.09231711097944863
1,12,13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0834052232683913	3.132613016449313	-2.138215752643747	1.0	0.5416666666666667	0.6857142857142857	0.585	0.7309523809523809	0.0	0.23935677693908453	0.13119026013291343	0.1205197079319395	0.09511897312113415
2,4,7	0.0	0.0	-1.8375927252496758	0.0	1.8645899729824502	0.0	0.0	2.8066871594022884	0.0	0.0	0.0	0.0	0.0	0.0	-1.0017445255476252	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
2,3,12	0.0	0.0	-0.7486377526061977	4.662483619328864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6704238401682792	0.0	-2.8937015731735576	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
2,4,11	0.0	0.0	-1.1513036899102354	0.0	1.8097756103726368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5254437487536436	0.39999999999999997	0.0	0.7452380952380953	0.8	0.5133333333333333	0.28087165910587863	0.0	0.12555997022319249	0.4	0.29896116433038217
2,5,11	0.0	0.0	-3.1811900633854826	0.0	0.0	-1.592098458250307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3345163149201857	0.65	0.20833333333333334	0.7357142857142857	0.6016666666666667	nan	0.39756201472921876	0.19094065395649332	0.18548520670059354	0.35311707218239485	nan
2,3,8	0.0	0.0	-0.28391664912458864	4.647709278211577	0.0	0.0	0.0	0.0	-0.22221020878113737	0.0	0.0	0.0	0.0	0.0	-3.144367421683543	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
2,5,7	0.0	0.0	-3.6357175423316996	0.0	0.0	-0.8719261741600477	0.0	2.7616038112427175	0.0	0.0	0.0	0.0	0.0	0.0	0.8476793452344275	0.9333333333333333	0.0	0.9666666666666666	1.0	0.95	0.2	0.0	0.1	0.0	0.15
2,6,8	0.0	0.0	-3.5732113423761596	0.0	0.0	0.0	2.835954562708915	0.0	-0.7816217670446839	0.0	0.0	0.0	0.0	0.0	0.9535547530585902	0.9666666666666666	0.0	0.9833333333333334	1.0	0.9800000000000001	0.1	0.0	0.04999999999999999	0.0	0.05999999999999999
2,7,10	0.0	0.0	-2.9158528638662267	0.0	0.0	0.0	0.0	1.732939055935491	0.0	0.0	2.7976869014711365	0.0	0.0	0.0	-1.3460624390186182	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
2,6,12	0.0	0.0	-2.45596368460593	0.0	0.0	0.0	2.6900374198886072	0.0	0.0	0.0	0.0	0.0	0.9731856775061825	0.0	-0.13679575834467275	1.0	0.175	0.8904761904761905	0.835	0.894047619047619	0.0	0.22500000000000003	0.14293648590289176	0.21219095173922944	0.13887811749614978
